Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-10-01 12:33:13,"Deadlift Day",1h 26m,"Bench Press (Barbell)",4,135.0,5,0,0,,,
2021-10-01 12:33:13,"Deadlift Day",1h 26m,"Bench Press (Barbell)",5,115.0,6,0,0,,,
2021-10-01 12:33:13,"Deadlift Day",1h 26m,"Deadlift (Barbell)",1,135.0,6,0,0,"",,
2021-10-01 12:33:13,"Deadlift Day",1h 26m,"Deadlift (Barbell)",2,155.0,6,0,0,,,
2021-10-01 12:33:13,"Deadlift Day",1h 26m,"Deadlift (Barbell)",3,165.0,6,0,0,,,
2021-10-01 12:33:13,"Deadlift Day",1h 26m,"Deadlift (Barbell)",4,175.0,6,0,0,,,
2021-10-01 12:33:13,"Deadlift Day",1h 26m,"Sit Up",1,20.0,15,0,0,"",,
2021-10-01 12:33:13,"Deadlift Day",1h 26m,"Sit Up",2,20.0,15,0,0,,,
2021-10-01 12:33:13,"Deadlift Day",1h 26m,"Sit Up",3,20.0,15,0,0,,,
2021-10-01 12:33:13,"Deadlift Day",1h 26m,"Sit Up",4,20.0,15,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Overhead Press (Barbell)",1,74.99999999999999,10,0,0,"","",
2021-10-03 16:00:43,"Squat Day",55m,"Overhead Press (Barbell)",2,85.0,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Overhead Press (Barbell)",3,85.0,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Overhead Press (Barbell)",4,85.0,4,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Overhead Press (Barbell)",5,85.0,4,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Front Squat (Barbell)",1,115.0,6,0,0,"",,
2021-10-03 16:00:43,"Squat Day",55m,"Front Squat (Barbell)",2,125.0,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Front Squat (Barbell)",3,135.0,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Front Squat (Barbell)",4,135.0,6,0,0,,,
2021-10-03 16:00:43,"Squat Day",55m,"Bench Press (Barbell)",1,115.0,8,0,0,"",,
