Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-02-24 19:34:51;"kod Ivana 4";"Bent Over Row (Barbell)";3;95;lbs;6;;;;0;;;1h 54m
2022-02-24 19:34:51;"kod Ivana 4";"Bent Over Row (Barbell)";4;95;lbs;4;;;;0;;;1h 54m
2022-02-24 19:34:51;"kod Ivana 4";"Squat (Dumbbell)";1;0;lbs;6;;;;0;"";;1h 54m
2022-02-24 19:34:51;"kod Ivana 4";"Squat (Dumbbell)";2;0;lbs;6;;;;0;;;1h 54m
2022-02-24 19:34:51;"kod Ivana 4";"Squat (Dumbbell)";3;20;lbs;10;;;;0;;;1h 54m
2022-02-24 19:34:51;"kod Ivana 4";"Squat (Dumbbell)";4;20;lbs;10;;;;0;;;1h 54m
2022-03-03 18:44:59;"kod Ivana 5";"Bench Press (Barbell)";1;95;lbs;6;;;;0;"";"";1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Bench Press (Barbell)";2;105;lbs;6;;;;0;;;1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Bench Press (Barbell)";3;115;lbs;5;;;;0;;;1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Bench Press (Barbell)";4;115;lbs;4;;;;0;;;1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Overhead Press (Barbell)";1;75;lbs;6;;;;0;"";;1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Overhead Press (Barbell)";2;85;lbs;5;;;;0;;;1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Overhead Press (Barbell)";3;85;lbs;3;;;;0;;;1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Overhead Press (Barbell)";4;75;lbs;5;;;;0;;;1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Deadlift (Barbell)";1;65;lbs;5;;;;0;"";;1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Deadlift (Barbell)";2;65;lbs;4;;;;0;;;1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Deadlift (Barbell)";3;75;lbs;4;;;;0;;;1h 34m
2022-03-03 18:44:59;"kod Ivana 5";"Deadlift (Barbell)";4;95;lbs;6;;;;0;;;1h 34m
2022-03-07 17:28:09;"kod Ivana 6";"Bench Press (Barbell)";1;95;lbs;6;;;;0;"";"";1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Bench Press (Barbell)";2;105;lbs;5;;;;0;;;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Bench Press (Barbell)";3;105;lbs;4;;;;0;;;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Bench Press (Barbell)";4;105;lbs;2;;;;0;;;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Overhead Press (Barbell)";1;75;lbs;6;;;;0;"";;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Overhead Press (Barbell)";2;75;lbs;6;;;;0;;;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Overhead Press (Barbell)";3;85;lbs;6;;;;0;;;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Overhead Press (Barbell)";4;95;lbs;3;;;;0;;;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Bent Over Row (Barbell)";1;95;lbs;6;;;;0;"";;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Bent Over Row (Barbell)";2;95;lbs;14;;;;0;;;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Bent Over Row (Barbell)";3;85;lbs;14;;;;0;;;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Bent Over Row (Barbell)";4;85;lbs;12;;;;0;;;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Bent Over Row (Barbell)";5;95;lbs;12;;;;0;;;1h 55m
2022-03-07 17:28:09;"kod Ivana 6";"Bent Over Row (Barbell)";6;95;lbs;6;;;;0;;;1h 55m
2022-03-10 18:10:18;"kod Ivana 7";"Bench Press (Barbell)";1;85;lbs;6;;;;0;"";"";1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Bench Press (Barbell)";2;95;lbs;6;;;;0;;;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Bench Press (Barbell)";3;105;lbs;6;;;;0;;;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Bench Press (Barbell)";4;115;lbs;1;;;;0;;;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Bench Press (Barbell)";5;115;lbs;4;;;;0;;;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Overhead Press (Barbell)";1;75;lbs;6;;;;0;"";;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Overhead Press (Barbell)";2;75;lbs;6;;;;0;;;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Overhead Press (Barbell)";3;75;lbs;2;;;;0;;;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Bent Over Row (Barbell)";1;95;lbs;6;;;;0;"";;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Bent Over Row (Barbell)";2;95;lbs;6;;;;0;;;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Bent Over Row (Barbell)";3;95;lbs;14;;;;0;;;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Bent Over Row (Barbell)";4;95;lbs;6;;;;0;;;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Bent Over Row (Barbell)";5;95;lbs;6;;;;0;;;1h 14m
2022-03-10 18:10:18;"kod Ivana 7";"Deadlift (Barbell)";1;95;lbs;8;8;;;0;"";;1h 14m
